0,1,2
75.0,94.0,-32.298252
78.0,104.0,-29.753841
81.0,113.0,-27.321297
86.0,121.0,-24.005896
89.0,128.0,-17.081226
96.0,133.0,-6.7359924
101.0,136.0,4.793662
110.0,137.0,15.135796
122.0,137.0,19.847282
133.0,134.0,14.251524
142.0,131.0,3.7080362
148.0,128.0,-8.056031
154.0,124.0,-18.418081
157.0,115.0,-25.037338
159.0,107.0,-28.202656
162.0,97.0,-30.602734
163.0,87.0,-32.996464
83.0,72.0,1.1676887
87.0,66.0,6.1407285
93.0,63.0,9.934817
99.0,63.0,12.531468
104.0,64.0,13.875418
126.0,61.0,14.102595
132.0,60.0,12.803708
138.0,58.0,10.105806
144.0,61.0,6.415501
150.0,66.0,1.2552297
116.0,75.0,16.95304
117.0,81.0,22.325674
117.0,87.0,28.522697
117.0,93.0,30.269598
111.0,100.0,21.60316
114.0,100.0,23.32873
119.0,100.0,24.310514
122.0,98.0,23.080618
126.0,98.0,21.258139
92.0,79.0,7.2806487
95.0,78.0,10.954318
101.0,76.0,11.245153
105.0,78.0,10.32519
101.0,79.0,11.838516
96.0,81.0,10.784445
127.0,76.0,10.858192
132.0,73.0,11.696443
138.0,73.0,11.389549
142.0,75.0,7.4657445
138.0,76.0,11.004196
132.0,76.0,12.177999
105.0,116.0,19.786516
110.0,112.0,24.554527
116.0,107.0,26.818705
119.0,109.0,27.373396
122.0,107.0,26.70809
129.0,109.0,23.8465
135.0,113.0,18.447739
129.0,116.0,23.704178
125.0,118.0,26.33825
120.0,119.0,27.01598
114.0,119.0,26.580256
110.0,118.0,24.318592
107.0,116.0,19.880749
114.0,112.0,25.488272
119.0,112.0,26.188671
123.0,112.0,25.203438
133.0,113.0,18.545193
123.0,113.0,25.014523
119.0,113.0,25.593336
114.0,113.0,25.21186
