0,1,2
69.0,115.0,-43.342712
69.0,131.0,-45.607758
74.0,148.0,-47.61683
76.0,163.0,-47.420834
81.0,179.0,-41.498478
88.0,196.0,-28.809166
98.0,206.0,-12.921248
110.0,218.0,2.6784832
129.0,225.0,9.189623
151.0,220.0,0.3620578
165.0,211.0,-16.189848
175.0,201.0,-33.0797
185.0,187.0,-46.33576
192.0,170.0,-52.143875
194.0,155.0,-52.281853
199.0,139.0,-50.27346
204.0,122.0,-47.844513
84.0,100.0,20.781372
93.0,95.0,31.265192
103.0,95.0,37.41321
112.0,98.0,40.604004
120.0,100.0,41.07737
156.0,103.0,40.24059
163.0,100.0,39.20541
173.0,100.0,35.491917
182.0,103.0,28.857498
189.0,107.0,17.660368
137.0,122.0,36.56425
137.0,136.0,40.9795
134.0,148.0,47.259113
134.0,158.0,46.630615
122.0,160.0,28.955101
127.0,163.0,31.078623
134.0,165.0,31.917194
141.0,165.0,30.444502
146.0,163.0,28.018637
96.0,117.0,24.860195
103.0,115.0,31.807188
112.0,117.0,31.854126
120.0,119.0,27.998812
112.0,122.0,30.545408
103.0,122.0,29.337587
153.0,122.0,27.677734
163.0,119.0,30.83364
170.0,119.0,30.132597
177.0,122.0,22.52648
170.0,124.0,27.43162
161.0,124.0,29.440264
105.0,177.0,14.360592
115.0,177.0,24.120846
127.0,177.0,30.12863
134.0,179.0,30.52351
139.0,177.0,29.887661
151.0,179.0,23.200726
161.0,182.0,12.4176235
149.0,187.0,21.084543
141.0,189.0,25.696692
132.0,189.0,27.030186
124.0,189.0,26.211018
115.0,184.0,22.109638
108.0,177.0,14.231233
124.0,182.0,25.631836
132.0,182.0,27.011288
141.0,182.0,25.344658
158.0,179.0,12.466705
141.0,182.0,25.203262
132.0,182.0,26.403591
124.0,182.0,25.429949
