0,1,2
64.0,116.0,-18.20647
65.0,127.0,-18.737568
67.0,138.0,-19.491135
70.0,150.0,-19.229366
77.0,161.0,-15.865973
85.0,170.0,-9.726243
96.0,178.0,-2.4447944
109.0,183.0,3.4021213
122.0,187.0,2.6460075
133.0,183.0,-6.739408
138.0,177.0,-19.441978
141.0,170.0,-32.444714
144.0,161.0,-43.13388
146.0,148.0,-48.617455
147.0,138.0,-50.230747
149.0,125.0,-50.710606
150.0,113.0,-50.74771
86.0,105.0,14.80084
94.0,101.0,18.637333
102.0,100.0,20.179493
109.0,100.0,20.322206
115.0,101.0,19.243654
136.0,101.0,11.963199
141.0,100.0,9.089464
146.0,100.0,4.4586287
150.0,101.0,-1.7920854
154.0,105.0,-9.610092
125.0,113.0,14.575572
126.0,122.0,17.999958
128.0,130.0,22.470953
128.0,137.0,22.789427
118.0,142.0,15.745456
122.0,143.0,16.140049
126.0,143.0,15.488238
130.0,143.0,13.23606
131.0,142.0,10.7018585
96.0,113.0,15.476086
102.0,111.0,18.125229
107.0,111.0,16.422283
112.0,113.0,12.975576
107.0,114.0,15.9109745
101.0,114.0,17.001484
133.0,113.0,5.685045
139.0,111.0,5.4547787
144.0,111.0,3.2513752
147.0,113.0,-2.505881
144.0,114.0,2.0693364
138.0,114.0,5.1765485
109.0,158.0,13.4943285
115.0,156.0,16.854658
123.0,154.0,17.651255
126.0,154.0,16.945457
130.0,153.0,15.387696
134.0,156.0,10.484961
138.0,158.0,3.4799912
133.0,161.0,9.338825
130.0,164.0,12.747682
126.0,164.0,14.78022
122.0,164.0,15.880549
117.0,161.0,15.480145
110.0,158.0,12.974317
122.0,158.0,15.558564
125.0,158.0,15.055462
128.0,158.0,12.879269
136.0,158.0,3.995441
130.0,158.0,12.451397
125.0,159.0,14.129118
122.0,158.0,15.045654
