0,1,2
-11.0,28.0,-36.03527
-11.0,30.0,-34.306507
35.0,49.0,-32.36231
33.0,45.0,-30.154251
40.0,43.0,-26.460627
41.0,38.0,-20.567148
39.0,32.0,-14.366598
5.0,66.0,-7.6967316
1.0,68.0,-0.7487027
20.0,19.0,3.6272857
15.0,66.0,4.7262383
18.0,68.0,4.972487
33.0,51.0,4.6896524
35.0,45.0,3.7887816
-9.0,25.0,3.0374799
35.0,37.0,2.1334984
32.0,30.0,0.7945191
-2.0,31.0,-23.334139
0.0,32.0,-19.981691
25.0,24.0,-16.492533
29.0,21.0,-13.433372
32.0,19.0,-10.869982
-4.0,22.0,-2.587074
-4.0,23.0,-0.77255434
-4.0,23.0,1.2177019
-2.0,23.0,2.9953475
2.0,27.0,3.9379246
4.0,19.0,-5.732792
3.0,19.0,-4.0468807
1.0,21.0,-2.1384454
0.0,36.0,-1.2735355
-4.0,43.0,-6.654741
-4.0,43.0,-4.795779
-4.0,44.0,-2.7960694
-2.0,43.0,-1.4557073
19.0,22.0,-0.73452336
3.0,32.0,-17.965752
3.0,31.0,-15.5907955
4.0,30.0,-13.6540985
8.0,29.0,-12.112491
5.0,30.0,-13.22484
4.0,31.0,-15.471853
4.0,29.0,-2.921155
0.0,28.0,-0.762356
1.0,28.0,1.1505668
3.0,28.0,1.8767284
3.0,29.0,1.182296
3.0,29.0,-0.754742
37.0,28.0,-10.397679
35.0,21.0,-7.0918617
33.0,20.0,-4.018599
-4.0,47.0,-2.4377725
-4.0,47.0,-1.2022778
-2.0,49.0,0.66111207
0.0,51.0,2.1221714
-2.0,53.0,0.8894857
-3.0,53.0,-0.058098484
-4.0,53.0,-1.7824013
-4.0,53.0,-3.8189445
-4.0,53.0,-6.4995666
35.0,20.0,-10.096623
34.0,21.0,-4.4967923
-4.0,49.0,-2.5152848
-3.0,49.0,-0.97933394
0.0,51.0,1.3428198
-3.0,50.0,-1.4870135
-4.0,49.0,-2.9875817
-4.0,49.0,-4.7680197
