0,1,2
-13.0,116.0,-27.872927
-10.0,126.0,-31.77355
-7.0,136.0,-35.385754
-5.0,145.0,-37.39859
-1.0,156.0,-36.043865
3.0,166.0,-30.035591
10.0,173.0,-20.795956
16.0,180.0,-11.7454605
29.0,184.0,-8.03929
41.0,181.0,-11.062201
48.0,173.0,-19.074635
54.0,163.0,-27.798786
59.0,152.0,-33.397224
62.0,141.0,-34.297035
65.0,133.0,-32.114094
69.0,123.0,-28.413101
70.0,113.0,-24.333307
-5.0,116.0,13.059602
0.0,115.0,20.871447
7.0,115.0,25.691246
12.0,116.0,28.226698
18.0,118.0,28.914179
38.0,118.0,30.097702
44.0,115.0,29.80896
50.0,113.0,27.754473
56.0,113.0,23.507738
61.0,115.0,16.021938
29.0,130.0,25.055367
29.0,138.0,26.456034
29.0,148.0,28.63785
29.0,154.0,27.151285
22.0,155.0,14.715534
25.0,156.0,16.535435
29.0,158.0,17.336277
32.0,156.0,16.845654
34.0,155.0,15.377634
3.0,126.0,13.803615
7.0,123.0,19.092445
12.0,123.0,19.492989
16.0,126.0,17.047676
12.0,129.0,17.66257
7.0,129.0,16.330772
38.0,126.0,18.498959
44.0,123.0,21.252579
48.0,123.0,21.25178
52.0,125.0,16.11739
48.0,129.0,18.337694
43.0,129.0,19.34882
15.0,167.0,5.26214
21.0,167.0,11.740637
25.0,166.0,15.746149
27.0,167.0,16.067598
30.0,166.0,16.139952
36.0,167.0,12.7864275
40.0,169.0,6.5132265
36.0,173.0,10.4287
33.0,176.0,11.683752
29.0,176.0,11.839734
25.0,174.0,11.194489
21.0,171.0,9.493975
16.0,167.0,5.758937
25.0,169.0,11.94998
29.0,170.0,13.075656
32.0,170.0,12.454222
38.0,169.0,6.941772
32.0,170.0,13.040501
29.0,170.0,13.117148
25.0,170.0,12.520003
