0,1,2
53.0,8.0,-4.6212916
53.0,13.0,-6.4672947
53.0,14.0,-8.394858
55.0,19.0,-9.857249
60.0,29.0,-10.679802
58.0,29.0,-10.238072
102.0,21.0,-9.232765
102.0,34.0,-8.877307
107.0,39.0,-10.782015
92.0,43.0,-14.116588
107.0,30.0,-18.67658
91.0,36.0,-22.569916
90.0,31.0,-24.998438
83.0,41.0,-25.293911
92.0,40.0,-24.619179
94.0,1.0,-23.484398
104.0,4.0,-22.199434
72.0,9.0,8.903774
91.0,39.0,10.893079
90.0,41.0,11.256639
90.0,43.0,10.740629
90.0,45.0,9.629278
97.0,18.0,4.85312
98.0,22.0,3.6295047
101.0,24.0,1.7539796
101.0,25.0,-1.3511057
100.0,23.0,-5.4805255
93.0,16.0,4.677934
95.0,18.0,4.553659
95.0,-4.0,4.713549
95.0,-5.0,3.885314
72.0,37.0,0.28071788
86.0,-2.0,0.23750168
89.0,-2.0,-0.49605024
85.0,37.0,-1.437206
85.0,36.0,-2.7342355
72.0,10.0,6.5104327
92.0,39.0,7.8067665
90.0,39.0,6.575
74.0,17.0,4.1009665
92.0,39.0,5.3672857
66.0,15.0,6.2775683
93.0,13.0,-0.73919106
71.0,35.0,-0.45453498
71.0,35.0,-1.6981975
98.0,11.0,-4.6379757
100.0,21.0,-3.124885
72.0,35.0,-1.5638698
90.0,40.0,-3.191009
71.0,44.0,-1.9704462
91.0,-1.0,-1.8229592
93.0,-1.0,-2.5719907
93.0,-1.0,-3.209537
97.0,38.0,-5.962268
95.0,40.0,-8.879212
97.0,39.0,-7.04655
98.0,39.0,-5.5690494
97.0,37.0,-4.405911
97.0,37.0,-3.527473
92.0,38.0,-3.1863837
90.0,39.0,-3.6774771
72.0,46.0,-3.241398
74.0,47.0,-3.7520034
97.0,36.0,-4.9513865
95.0,39.0,-8.768877
97.0,36.0,-5.3208017
97.0,36.0,-4.317331
72.0,47.0,-3.580625
