0,1,2
71.0,97.0,-22.550238
71.0,111.0,-27.02485
71.0,123.0,-31.189123
72.0,133.0,-33.669086
74.0,148.0,-32.697968
81.0,162.0,-27.675467
91.0,172.0,-19.949022
103.0,182.0,-12.902619
117.0,188.0,-12.469055
130.0,184.0,-19.456553
139.0,176.0,-29.958166
146.0,165.0,-41.136265
151.0,152.0,-48.93809
154.0,138.0,-50.658722
158.0,128.0,-48.538754
161.0,118.0,-44.79561
165.0,104.0,-40.162174
90.0,100.0,18.96913
96.0,100.0,25.547508
105.0,102.0,28.980774
112.0,104.0,30.127316
117.0,107.0,29.52264
141.0,109.0,25.924612
148.0,107.0,24.384007
153.0,106.0,20.810303
160.0,106.0,15.002095
163.0,106.0,6.274707
127.0,119.0,22.397837
127.0,128.0,23.6929
125.0,136.0,26.423782
125.0,141.0,25.026167
117.0,143.0,15.002356
120.0,145.0,15.903677
124.0,147.0,15.672856
129.0,145.0,14.035438
132.0,145.0,11.896589
98.0,112.0,18.204792
103.0,112.0,22.60442
108.0,112.0,21.84278
113.0,116.0,18.188906
108.0,116.0,19.942694
103.0,116.0,19.97698
139.0,118.0,14.853158
144.0,116.0,16.536407
151.0,116.0,15.208381
154.0,116.0,9.012683
149.0,119.0,12.442068
144.0,119.0,14.704674
108.0,160.0,8.803266
113.0,157.0,13.98632
120.0,153.0,16.289738
124.0,155.0,15.84713
127.0,153.0,14.802864
134.0,157.0,9.598009
136.0,160.0,1.6090026
132.0,165.0,6.3150682
129.0,167.0,8.556068
124.0,169.0,9.973649
119.0,167.0,10.757926
113.0,164.0,10.59614
110.0,158.0,8.804355
120.0,158.0,12.781226
124.0,158.0,12.739506
127.0,158.0,10.842658
134.0,160.0,2.2029154
127.0,160.0,9.896048
124.0,160.0,11.063804
119.0,160.0,11.737081
