0,1,2
43.0,127.0,12.896937
42.0,145.0,11.729009
48.0,155.0,10.359115
53.0,167.0,9.645024
61.0,176.0,9.645619
82.0,184.0,8.765511
99.0,184.0,7.51075
117.0,183.0,3.833912
131.0,183.0,-7.3835735
136.0,180.0,-24.200916
120.0,181.0,-41.925144
107.0,169.0,-57.462154
104.0,165.0,-69.68126
89.0,149.0,-75.71715
87.0,136.0,-77.88808
83.0,123.0,-78.556496
81.0,108.0,-78.42318
89.0,107.0,24.437372
97.0,106.0,23.458273
105.0,105.0,19.399654
111.0,105.0,14.709344
116.0,107.0,9.884259
127.0,103.0,-11.280897
128.0,102.0,-17.453247
129.0,100.0,-24.952534
127.0,100.0,-34.271328
120.0,100.0,-44.329136
122.0,115.0,-1.3991321
126.0,123.0,0.87039447
132.0,130.0,3.9336708
133.0,136.0,4.4377513
118.0,143.0,4.8279696
122.0,143.0,2.9068863
126.0,144.0,-0.49800774
128.0,143.0,-5.4707193
128.0,140.0,-10.451082
96.0,116.0,16.547306
103.0,114.0,15.3156
105.0,113.0,10.2054615
106.0,115.0,4.27207
105.0,117.0,9.374884
102.0,117.0,14.101745
117.0,113.0,-18.46944
121.0,109.0,-22.099388
122.0,108.0,-27.219715
120.0,109.0,-33.894394
121.0,112.0,-28.220484
120.0,113.0,-22.177864
110.0,160.0,9.816301
118.0,155.0,7.629462
125.0,152.0,3.3576677
128.0,152.0,-0.07726619
129.0,151.0,-3.8186412
133.0,153.0,-12.146382
131.0,157.0,-20.959059
133.0,157.0,-11.174336
133.0,158.0,-5.145036
129.0,159.0,-0.2081066
125.0,160.0,4.1114855
119.0,159.0,7.301949
111.0,159.0,8.62499
122.0,155.0,2.289509
127.0,155.0,-1.538577
129.0,154.0,-6.33633
131.0,155.0,-19.331923
131.0,153.0,-4.976191
127.0,154.0,-0.71534824
124.0,154.0,3.08168
