0,1,2
59.0,131.0,-19.757526
66.0,145.0,-21.449871
73.0,155.0,-23.426064
78.0,167.0,-24.351978
88.0,179.0,-22.30278
102.0,188.0,-16.62439
116.0,191.0,-8.948165
131.0,195.0,-3.0492938
148.0,193.0,-4.590729
160.0,183.0,-14.660652
162.0,172.0,-28.02062
162.0,162.0,-41.843174
160.0,150.0,-52.61128
158.0,137.0,-56.96648
155.0,123.0,-57.637135
152.0,111.0,-57.260956
148.0,97.0,-56.155437
83.0,114.0,18.210175
90.0,109.0,23.743847
99.0,106.0,26.004137
107.0,104.0,26.31143
114.0,102.0,25.260183
134.0,94.0,16.845995
140.0,89.0,13.373937
143.0,85.0,7.915927
148.0,84.0,0.3607608
152.0,85.0,-9.539142
129.0,111.0,20.244427
134.0,119.0,24.033766
140.0,128.0,28.45481
141.0,135.0,28.454556
129.0,143.0,17.860487
133.0,143.0,18.849497
140.0,142.0,18.208426
143.0,140.0,15.31127
145.0,138.0,11.824326
97.0,121.0,17.650578
102.0,118.0,21.089615
107.0,114.0,19.146029
112.0,116.0,14.985067
109.0,119.0,18.023136
104.0,121.0,19.168509
134.0,108.0,6.5022388
140.0,102.0,6.4041476
145.0,101.0,3.8406422
148.0,101.0,-3.1231663
146.0,104.0,1.832735
141.0,106.0,5.625683
121.0,164.0,11.544453
128.0,155.0,17.081404
136.0,150.0,18.795273
140.0,149.0,17.815617
145.0,147.0,16.067747
152.0,149.0,9.098056
155.0,152.0,-1.3980739
153.0,160.0,5.2431316
150.0,166.0,9.330119
145.0,169.0,11.867723
138.0,169.0,13.3646145
131.0,167.0,13.1011
121.0,162.0,10.9796295
134.0,155.0,15.869546
141.0,154.0,15.269328
145.0,152.0,12.390468
153.0,152.0,-0.7988631
146.0,160.0,9.976469
143.0,162.0,12.142324
136.0,164.0,13.338618
