0,1,2
76.0,104.0,-38.086647
80.0,119.0,-42.18223
83.0,133.0,-45.72735
87.0,144.0,-47.165974
91.0,157.0,-43.862034
99.0,170.0,-34.61373
104.0,180.0,-21.809143
114.0,187.0,-9.504017
129.0,191.0,-4.2914395
146.0,185.0,-9.404388
157.0,176.0,-20.590132
166.0,166.0,-32.77025
174.0,153.0,-41.353344
178.0,140.0,-43.88763
180.0,127.0,-42.05737
181.0,114.0,-38.40225
183.0,99.0,-33.938236
83.0,102.0,14.951112
89.0,100.0,24.323748
97.0,100.0,30.188383
104.0,100.0,33.31951
110.0,102.0,34.218563
136.0,102.0,35.39682
144.0,100.0,34.917206
151.0,99.0,32.37453
161.0,99.0,27.3312
168.0,99.0,18.322277
125.0,116.0,29.887852
125.0,127.0,32.212467
125.0,136.0,36.08861
125.0,144.0,34.772232
117.0,146.0,20.193937
121.0,148.0,22.230444
125.0,149.0,23.178686
131.0,148.0,22.279453
134.0,146.0,20.479446
93.0,114.0,17.347672
99.0,112.0,23.59045
104.0,112.0,24.126055
112.0,114.0,21.189522
106.0,116.0,22.329756
99.0,116.0,20.801193
138.0,114.0,22.907146
146.0,110.0,26.070513
151.0,110.0,25.95274
157.0,112.0,19.739695
151.0,114.0,22.886602
144.0,116.0,24.149443
110.0,163.0,10.479039
115.0,161.0,18.136091
123.0,159.0,22.670399
127.0,159.0,23.102776
131.0,157.0,22.827435
138.0,159.0,17.99378
144.0,161.0,9.9566345
138.0,166.0,15.103283
132.0,168.0,17.31482
127.0,170.0,17.874233
121.0,170.0,17.425535
115.0,166.0,15.317678
112.0,163.0,10.824273
121.0,163.0,18.608696
127.0,163.0,19.710882
131.0,163.0,18.560282
142.0,161.0,10.217215
131.0,163.0,18.376005
127.0,163.0,18.866488
121.0,163.0,18.421366
