0,1,2
68.0,105.0,-22.640491
70.0,118.0,-27.550634
73.0,130.0,-32.093437
77.0,141.0,-35.012627
83.0,154.0,-34.635475
92.0,166.0,-29.983095
102.0,175.0,-22.585014
116.0,182.0,-15.659812
131.0,185.0,-14.956766
145.0,176.0,-21.987316
153.0,166.0,-32.763466
158.0,156.0,-43.611263
162.0,142.0,-50.96957
164.0,127.0,-52.28539
164.0,115.0,-49.904324
164.0,103.0,-45.84193
165.0,89.0,-40.94679
85.0,106.0,19.497766
92.0,105.0,26.267204
100.0,105.0,29.671898
107.0,103.0,30.689426
114.0,105.0,29.929596
136.0,101.0,25.857273
143.0,100.0,24.34766
150.0,98.0,20.821335
157.0,95.0,14.8781395
160.0,95.0,5.828786
126.0,115.0,21.920069
128.0,125.0,22.814598
129.0,134.0,25.074205
129.0,141.0,23.302149
121.0,142.0,12.302917
124.0,144.0,13.090781
129.0,144.0,12.755192
133.0,142.0,11.260286
136.0,141.0,9.163886
97.0,115.0,18.197945
102.0,113.0,22.682405
107.0,113.0,21.894705
112.0,113.0,17.939564
107.0,117.0,19.761106
102.0,117.0,19.847342
136.0,110.0,13.934889
143.0,108.0,15.797561
148.0,106.0,14.392673
153.0,106.0,8.104079
148.0,110.0,11.503098
143.0,112.0,13.817774
112.0,158.0,2.4585211
119.0,156.0,8.359907
126.0,153.0,11.491941
131.0,153.0,11.006365
135.0,151.0,10.122915
141.0,153.0,4.5576816
146.0,153.0,-3.7180843
141.0,159.0,1.2496202
138.0,165.0,3.9546795
131.0,166.0,5.4356427
126.0,166.0,5.9811063
119.0,163.0,5.0384774
114.0,158.0,2.2100122
126.0,158.0,7.6537213
131.0,156.0,7.8281393
135.0,156.0,6.038189
145.0,153.0,-3.3012977
136.0,158.0,5.288476
131.0,159.0,6.583766
126.0,159.0,6.855024
