0,1,2
80.0,104.0,-39.088146
81.0,117.0,-41.646275
83.0,129.0,-43.830353
85.0,142.0,-44.122692
88.0,155.0,-40.00872
93.0,167.0,-30.255877
100.0,176.0,-17.3848
107.0,185.0,-4.8801737
121.0,190.0,1.2381823
136.0,186.0,-2.588275
150.0,181.0,-12.590826
159.0,172.0,-23.719036
169.0,162.0,-32.00874
174.0,148.0,-34.926956
176.0,136.0,-33.93698
179.0,123.0,-31.379982
181.0,109.0,-28.295078
87.0,100.0,11.249605
92.0,97.0,20.76992
99.0,97.0,27.001026
105.0,98.0,30.5895
111.0,102.0,31.992811
136.0,102.0,35.100307
143.0,100.0,35.02123
150.0,100.0,32.983475
159.0,102.0,28.506927
166.0,105.0,20.178335
123.0,116.0,29.931929
123.0,126.0,32.834187
121.0,135.0,37.19944
121.0,142.0,36.51088
114.0,143.0,21.98994
116.0,145.0,24.343485
121.0,147.0,25.735678
126.0,147.0,25.064295
131.0,145.0,23.402973
95.0,112.0,14.922809
100.0,112.0,21.292374
105.0,112.0,22.36041
112.0,114.0,20.315292
105.0,116.0,21.027218
100.0,116.0,18.95603
138.0,116.0,23.717207
143.0,114.0,26.976767
150.0,114.0,27.320044
155.0,117.0,21.660238
150.0,119.0,24.611954
143.0,119.0,25.435839
105.0,159.0,11.555977
109.0,157.0,19.942532
118.0,155.0,25.028395
121.0,157.0,25.779644
124.0,157.0,25.721764
133.0,159.0,21.352491
140.0,162.0,13.181272
133.0,166.0,17.645498
126.0,169.0,19.40259
121.0,169.0,19.483135
114.0,167.0,18.603363
109.0,164.0,16.231314
105.0,159.0,11.938961
116.0,160.0,21.11321
121.0,160.0,22.581148
126.0,160.0,21.710623
138.0,162.0,13.234887
126.0,162.0,20.005861
121.0,162.0,20.156803
116.0,160.0,19.338465
