0,1,2
42.0,39.0,-23.983303
44.0,48.0,-22.077534
47.0,57.0,-20.170916
50.0,64.0,-17.198906
54.0,70.0,-11.163162
62.0,76.0,-2.400935
69.0,77.0,6.988867
81.0,78.0,15.224697
94.0,82.0,17.66877
106.0,79.0,10.690749
114.0,78.0,-0.94331086
118.0,76.0,-12.716342
123.0,72.0,-23.055912
127.0,64.0,-29.961983
128.0,58.0,-33.501648
130.0,51.0,-36.061733
132.0,46.0,-38.41578
61.0,24.0,3.3846753
67.0,22.0,7.1348834
73.0,21.0,8.992749
79.0,21.0,9.988698
84.0,22.0,10.178554
103.0,23.0,6.842349
108.0,23.0,4.9530177
112.0,23.0,2.008829
117.0,25.0,-1.9596798
121.0,29.0,-7.5287914
93.0,31.0,10.527174
94.0,36.0,14.925345
96.0,41.0,20.18108
96.0,46.0,21.732574
87.0,49.0,14.896695
91.0,51.0,15.940687
96.0,52.0,16.199158
99.0,51.0,14.512598
102.0,49.0,12.395749
71.0,30.0,6.6633897
74.0,29.0,9.019521
79.0,29.0,8.289161
81.0,30.0,6.389217
78.0,31.0,8.644145
74.0,31.0,8.773652
102.0,34.0,3.1160948
105.0,33.0,3.324707
110.0,33.0,2.2695549
112.0,34.0,-1.5143033
109.0,35.0,1.9727596
105.0,34.0,3.7257938
81.0,60.0,14.877894
87.0,58.0,17.516258
93.0,57.0,18.42043
96.0,58.0,18.238363
99.0,57.0,17.173702
105.0,58.0,13.68367
111.0,59.0,9.182611
106.0,61.0,15.642826
102.0,64.0,19.053478
97.0,64.0,20.49797
92.0,63.0,20.87732
87.0,61.0,19.183699
83.0,59.0,14.821362
93.0,59.0,17.551222
96.0,60.0,17.350685
100.0,59.0,15.887979
110.0,59.0,9.506743
100.0,59.0,17.45866
97.0,59.0,18.711794
92.0,59.0,19.118685
