0,1,2
80.0,79.0,-41.015232
82.0,93.0,-46.257694
87.0,108.0,-50.99773
91.0,120.0,-53.97791
96.0,134.0,-53.176434
103.0,148.0,-46.37332
110.0,162.0,-35.603165
119.0,175.0,-24.688864
133.0,182.0,-19.718102
149.0,175.0,-22.859144
163.0,164.0,-31.526772
172.0,152.0,-40.469425
179.0,136.0,-45.72668
182.0,122.0,-45.208736
184.0,109.0,-41.70724
186.0,97.0,-36.609837
186.0,85.0,-30.869183
84.0,92.0,7.3286023
91.0,92.0,16.48142
98.0,93.0,22.509827
105.0,95.0,25.82966
112.0,97.0,27.099426
137.0,99.0,29.200068
144.0,97.0,29.02653
151.0,95.0,27.06053
160.0,95.0,22.80245
167.0,95.0,14.660725
124.0,111.0,22.836329
124.0,122.0,24.452877
122.0,132.0,26.895378
122.0,139.0,25.157204
119.0,139.0,9.418601
121.0,141.0,11.740065
126.0,143.0,12.830018
131.0,141.0,12.294253
135.0,139.0,10.525441
96.0,104.0,8.466566
100.0,102.0,14.55611
107.0,102.0,15.309365
114.0,106.0,12.6447315
107.0,108.0,13.101537
101.0,108.0,11.386137
140.0,108.0,15.241166
145.0,108.0,18.817257
151.0,108.0,18.980677
156.0,106.0,13.5496235
151.0,109.0,15.669703
144.0,109.0,16.428907
114.0,153.0,-4.800861
115.0,152.0,3.8339791
122.0,150.0,9.348416
126.0,152.0,9.726636
131.0,150.0,9.873626
140.0,152.0,4.988654
147.0,152.0,-3.379254
140.0,159.0,1.6946175
135.0,162.0,4.0440483
128.0,164.0,4.606531
122.0,164.0,3.6460447
117.0,160.0,0.7045808
115.0,153.0,-4.57001
122.0,153.0,4.803045
128.0,155.0,6.124217
133.0,153.0,5.318521
145.0,152.0,-3.361319
133.0,157.0,5.1164865
128.0,157.0,5.6339827
122.0,157.0,4.7135153
