0,1,2
63.0,108.0,-23.98168
67.0,123.0,-26.694714
70.0,135.0,-29.368895
73.0,147.0,-30.290115
78.0,159.0,-27.370613
89.0,171.0,-20.30305
99.0,179.0,-10.9641075
111.0,186.0,-2.8487334
126.0,190.0,-1.9122614
140.0,184.0,-10.028649
147.0,176.0,-22.71075
150.0,167.0,-35.88576
154.0,155.0,-45.935623
157.0,142.0,-49.987755
157.0,130.0,-49.750317
160.0,116.0,-47.81425
160.0,102.0,-45.25532
82.0,101.0,19.042704
89.0,97.0,25.55717
97.0,96.0,28.942665
106.0,96.0,30.133287
111.0,97.0,29.58698
135.0,96.0,24.88801
142.0,94.0,22.870596
147.0,92.0,18.74331
154.0,92.0,12.367936
159.0,94.0,3.1658237
125.0,111.0,23.674
126.0,123.0,26.398766
128.0,132.0,30.360592
128.0,140.0,29.705885
119.0,143.0,19.12999
123.0,145.0,20.14053
128.0,145.0,19.944231
131.0,145.0,18.005682
133.0,143.0,15.492278
94.0,111.0,19.486948
99.0,109.0,23.818106
106.0,109.0,22.822182
111.0,111.0,19.16521
106.0,114.0,21.493757
99.0,114.0,21.669832
135.0,109.0,14.550602
140.0,106.0,15.807012
147.0,104.0,14.271938
150.0,108.0,7.839116
147.0,109.0,12.026232
140.0,111.0,14.619788
113.0,162.0,14.068849
118.0,159.0,18.797537
125.0,155.0,20.689812
128.0,157.0,20.20112
131.0,155.0,19.04997
137.0,157.0,13.813353
140.0,159.0,5.852033
137.0,164.0,11.822793
133.0,167.0,14.715987
128.0,167.0,16.29885
123.0,167.0,17.060888
118.0,166.0,16.591923
113.0,162.0,13.995398
123.0,161.0,17.476355
128.0,161.0,17.354074
131.0,161.0,15.362397
140.0,159.0,6.4422994
131.0,161.0,15.101327
128.0,161.0,16.364185
123.0,161.0,17.080896
