0,1,2
207.0,205.0,0.23893337
191.0,195.0,2.5943563
194.0,196.0,4.737536
199.0,202.0,6.915181
197.0,201.0,9.84106
202.0,203.0,12.370132
212.0,203.0,13.754619
217.0,204.0,13.400823
223.0,202.0,10.6940155
225.0,195.0,4.5195084
226.0,187.0,-2.6180437
202.0,207.0,-9.061449
203.0,205.0,-15.191549
203.0,201.0,-20.113953
170.0,188.0,-23.563328
174.0,188.0,-26.914028
209.0,160.0,-30.106659
213.0,186.0,1.7453703
210.0,196.0,0.08845996
212.0,192.0,-1.7695549
213.0,196.0,-3.256546
216.0,166.0,-4.571326
196.0,188.0,-11.916318
199.0,164.0,-14.33743
208.0,164.0,-16.889
207.0,163.0,-19.588291
207.0,163.0,-21.701378
199.0,191.0,-5.413362
202.0,191.0,-2.8950217
205.0,192.0,0.09711638
206.0,193.0,1.9154164
207.0,197.0,3.85501
208.0,196.0,3.3582022
209.0,195.0,2.4718156
210.0,193.0,0.63304037
210.0,191.0,-1.1610608
213.0,188.0,1.7004156
212.0,195.0,0.64319664
212.0,194.0,-1.191903
195.0,196.0,-2.7725925
212.0,195.0,-0.5899808
212.0,196.0,1.2026385
195.0,186.0,-10.684566
195.0,185.0,-12.469394
203.0,165.0,-14.298664
195.0,182.0,-15.902111
211.0,183.0,-13.553155
205.0,184.0,-11.6279545
211.0,202.0,10.136354
211.0,201.0,8.278518
211.0,197.0,6.014784
212.0,196.0,5.116917
212.0,195.0,3.6478403
214.0,191.0,1.5840478
215.0,188.0,0.26076788
216.0,192.0,3.8979228
216.0,196.0,6.339455
215.0,197.0,8.123829
214.0,200.0,9.605924
213.0,201.0,10.242886
210.0,201.0,9.629428
213.0,198.0,6.9097185
213.0,197.0,5.626303
214.0,196.0,4.1257443
214.0,188.0,0.67287713
214.0,195.0,4.781485
213.0,196.0,6.2237062
213.0,198.0,7.534225
