0,1,2
83.0,128.0,-46.396576
84.0,140.0,-43.324234
88.0,152.0,-40.223644
91.0,163.0,-36.268852
97.0,173.0,-28.241972
102.0,182.0,-15.903284
107.0,185.0,-2.2306547
116.0,189.0,10.569269
130.0,191.0,17.919004
144.0,185.0,13.716513
154.0,180.0,3.165031
163.0,175.0,-8.662582
170.0,166.0,-19.161898
173.0,154.0,-25.931538
177.0,143.0,-29.109907
180.0,133.0,-31.556604
182.0,119.0,-34.28895
86.0,103.0,-6.3217015
91.0,96.0,0.45851484
97.0,93.0,5.774596
103.0,91.0,9.579571
109.0,91.0,11.827425
133.0,87.0,15.27229
140.0,87.0,14.643586
147.0,87.0,12.580872
156.0,89.0,9.2504425
163.0,96.0,3.7502203
123.0,105.0,16.091227
123.0,114.0,22.087318
123.0,122.0,29.061825
123.0,128.0,30.999897
116.0,136.0,19.417864
119.0,136.0,21.827038
124.0,138.0,23.6163
130.0,136.0,22.826777
133.0,136.0,21.101963
95.0,112.0,1.5100034
98.0,110.0,6.430228
105.0,108.0,7.5264277
110.0,110.0,7.0897393
105.0,112.0,8.185392
100.0,114.0,6.1162534
137.0,108.0,10.917119
142.0,105.0,12.7534075
147.0,105.0,13.25842
152.0,107.0,9.257557
147.0,108.0,12.662601
142.0,108.0,13.171677
109.0,157.0,13.397255
114.0,150.0,20.675802
121.0,147.0,25.038296
124.0,147.0,26.200289
130.0,147.0,25.899948
138.0,149.0,22.837704
147.0,154.0,16.563578
138.0,159.0,21.867891
133.0,163.0,24.518126
126.0,163.0,24.615017
121.0,163.0,23.286375
114.0,161.0,19.665436
110.0,157.0,13.541344
121.0,152.0,22.968876
126.0,152.0,24.663631
131.0,150.0,23.999945
145.0,152.0,16.295467
131.0,156.0,22.86195
126.0,157.0,23.095753
121.0,157.0,21.762413
