0,1,2
100.0,129.0,-54.48583
104.0,141.0,-52.759003
107.0,152.0,-50.74483
110.0,162.0,-47.772247
113.0,172.0,-40.99132
117.0,180.0,-29.338549
118.0,185.0,-15.517042
123.0,188.0,-1.9543445
135.0,190.0,7.791543
150.0,185.0,8.439257
161.0,177.0,2.357681
169.0,170.0,-5.7151093
178.0,159.0,-12.410923
182.0,147.0,-16.05846
184.0,136.0,-16.985622
186.0,126.0,-17.213123
186.0,113.0,-17.793058
92.0,113.0,-14.160915
94.0,108.0,-5.9006586
97.0,104.0,1.3365561
102.0,103.0,6.7208467
107.0,103.0,10.35848
128.0,99.0,20.083313
135.0,96.0,21.097185
141.0,96.0,20.813759
150.0,98.0,19.249262
159.0,101.0,15.114473
118.0,116.0,16.512455
117.0,124.0,21.346748
115.0,131.0,26.835886
117.0,137.0,27.956469
117.0,144.0,14.499284
118.0,144.0,17.756762
122.0,144.0,20.507114
127.0,142.0,21.029451
130.0,142.0,20.27805
100.0,121.0,-5.807219
102.0,118.0,0.2591877
107.0,116.0,2.938332
113.0,119.0,3.864498
108.0,121.0,3.1469479
104.0,122.0,-0.5476303
133.0,114.0,14.151173
138.0,111.0,17.454191
143.0,111.0,19.542332
150.0,113.0,16.67822
145.0,116.0,18.3882
138.0,116.0,17.256905
115.0,164.0,6.2766824
117.0,159.0,14.640488
120.0,154.0,20.385061
123.0,154.0,22.365816
127.0,152.0,23.222094
135.0,154.0,22.18241
143.0,159.0,17.1424
138.0,165.0,19.78964
133.0,169.0,20.251825
127.0,170.0,18.68882
122.0,170.0,16.162945
118.0,169.0,12.320092
117.0,164.0,6.9819536
122.0,159.0,17.704748
125.0,159.0,20.44249
130.0,157.0,21.076384
141.0,159.0,16.768522
131.0,162.0,19.489044
127.0,164.0,18.215084
122.0,164.0,15.892086
