0,1,2
86.0,100.0,-41.596355
90.0,113.0,-45.78572
95.0,126.0,-49.262135
99.0,137.0,-50.772552
103.0,150.0,-47.73305
108.0,160.0,-38.862167
113.0,171.0,-26.500542
123.0,179.0,-14.2488365
135.0,184.0,-7.937987
150.0,177.0,-11.214399
163.0,168.0,-20.326181
174.0,157.0,-30.499487
181.0,144.0,-37.425087
185.0,130.0,-38.801613
185.0,119.0,-36.291573
186.0,104.0,-32.0838
186.0,91.0,-27.166544
86.0,100.0,9.77829
90.0,99.0,19.229477
95.0,99.0,25.55688
103.0,100.0,29.143917
108.0,102.0,30.464705
134.0,100.0,34.03841
141.0,99.0,34.396957
148.0,95.0,32.81674
157.0,95.0,28.933159
166.0,95.0,21.042753
123.0,115.0,26.9284
124.0,126.0,28.618408
123.0,135.0,31.851618
124.0,140.0,30.26263
119.0,144.0,15.970816
123.0,144.0,18.006365
126.0,146.0,19.294088
132.0,144.0,19.003555
135.0,142.0,17.809507
95.0,111.0,12.75556
99.0,109.0,19.244656
106.0,109.0,20.481218
112.0,113.0,18.212307
106.0,115.0,18.615437
101.0,115.0,16.473406
139.0,111.0,22.285196
144.0,108.0,25.997765
150.0,108.0,26.496475
157.0,108.0,21.032494
152.0,111.0,23.44971
144.0,113.0,23.906454
113.0,159.0,5.2525325
117.0,157.0,12.939914
124.0,153.0,17.98564
128.0,155.0,18.741455
132.0,153.0,18.852304
141.0,155.0,14.905892
148.0,157.0,7.9109507
141.0,162.0,11.82534
135.0,166.0,13.3598
130.0,166.0,13.3556385
124.0,166.0,12.384459
119.0,162.0,9.868731
115.0,159.0,5.44969
124.0,159.0,14.099023
128.0,159.0,15.606717
134.0,159.0,15.03049
146.0,157.0,7.779655
134.0,159.0,14.519155
128.0,159.0,14.522981
124.0,159.0,13.532643
