0,1,2
63.0,129.0,-28.609564
66.0,140.0,-26.04345
71.0,150.0,-23.83774
75.0,160.0,-20.762245
81.0,168.0,-14.128504
90.0,175.0,-4.179609
98.0,177.0,6.83896
111.0,180.0,15.977322
124.0,183.0,18.223326
139.0,180.0,9.756138
146.0,178.0,-3.4270265
151.0,175.0,-17.750689
154.0,168.0,-30.325924
157.0,159.0,-38.152443
159.0,149.0,-42.094322
160.0,137.0,-45.189274
162.0,126.0,-48.107094
81.0,107.0,5.6526985
90.0,102.0,10.030727
98.0,99.0,12.720096
104.0,98.0,14.326447
111.0,98.0,14.818235
136.0,98.0,10.703769
141.0,98.0,7.952946
147.0,99.0,3.6373496
154.0,101.0,-1.8278229
159.0,106.0,-8.651496
124.0,111.0,16.073051
126.0,117.0,22.1558
127.0,124.0,28.916374
127.0,129.0,30.929937
118.0,137.0,22.169744
121.0,137.0,23.675701
126.0,137.0,24.110802
131.0,137.0,21.949127
132.0,137.0,19.250156
93.0,116.0,10.232971
98.0,112.0,13.311672
103.0,111.0,12.452234
109.0,114.0,10.36987
104.0,116.0,12.98252
98.0,116.0,13.036406
136.0,114.0,6.307141
141.0,112.0,6.2081685
146.0,112.0,4.7951665
149.0,116.0,-0.26287374
146.0,116.0,4.382017
139.0,116.0,6.8145137
109.0,154.0,21.698408
116.0,147.0,26.026247
123.0,142.0,27.574802
126.0,144.0,27.651634
131.0,144.0,26.340717
137.0,147.0,22.312881
141.0,155.0,15.5831175
137.0,160.0,22.30543
132.0,164.0,25.86084
127.0,164.0,27.392885
121.0,164.0,27.662064
116.0,160.0,25.903067
111.0,154.0,21.562943
121.0,149.0,26.161531
126.0,147.0,26.381351
131.0,149.0,24.6455
139.0,155.0,16.078035
131.0,157.0,24.610947
127.0,157.0,25.824827
121.0,157.0,26.071672
