0,1,2
57.0,99.0,-20.089254
57.0,113.0,-22.005817
57.0,125.0,-23.92193
59.0,138.0,-24.295296
63.0,151.0,-21.090885
72.0,163.0,-14.057373
84.0,172.0,-5.0500193
97.0,179.0,2.7313936
113.0,187.0,2.634323
127.0,185.0,-7.6332226
136.0,178.0,-22.268217
140.0,172.0,-37.07577
145.0,163.0,-48.69027
149.0,151.0,-54.013565
152.0,140.0,-54.87718
156.0,127.0,-54.06555
160.0,115.0,-52.651928
86.0,99.0,21.063047
95.0,99.0,26.771832
104.0,99.0,29.143635
111.0,100.0,29.601145
118.0,102.0,28.458931
142.0,106.0,21.278107
147.0,104.0,18.503696
152.0,104.0,13.588318
160.0,106.0,6.4687986
161.0,108.0,-3.1834977
127.0,116.0,22.673948
127.0,127.0,26.070766
129.0,134.0,30.521238
127.0,142.0,30.238659
115.0,142.0,19.970383
118.0,143.0,20.682127
124.0,145.0,20.113382
129.0,145.0,17.703419
133.0,143.0,14.781452
95.0,109.0,21.016409
102.0,109.0,24.639294
108.0,109.0,23.004452
113.0,113.0,18.849113
108.0,115.0,21.942228
100.0,113.0,22.808456
136.0,115.0,11.592533
144.0,113.0,12.155299
149.0,115.0,10.020593
152.0,116.0,3.225932
149.0,118.0,8.015845
142.0,118.0,11.259599
100.0,152.0,14.468792
109.0,152.0,19.12578
118.0,152.0,20.816145
122.0,154.0,20.038668
127.0,154.0,18.529213
135.0,156.0,12.4769535
138.0,158.0,3.8752387
131.0,163.0,11.250795
127.0,165.0,15.271472
120.0,165.0,17.432114
115.0,163.0,18.432173
108.0,160.0,17.58145
102.0,152.0,14.169983
115.0,156.0,17.947247
122.0,158.0,17.489662
127.0,158.0,15.0966215
136.0,158.0,4.571369
127.0,160.0,15.219838
122.0,160.0,17.063154
117.0,158.0,17.949198
