0,1,2
81.0,112.0,-35.112602
83.0,125.0,-36.401665
85.0,138.0,-37.510185
86.0,148.0,-37.213287
90.0,161.0,-32.859135
95.0,173.0,-24.043278
103.0,179.0,-13.320404
113.0,186.0,-3.0314913
126.0,189.0,1.756073
141.0,186.0,-2.9645846
152.0,179.0,-12.658334
159.0,171.0,-23.009161
166.0,160.0,-31.410152
169.0,148.0,-35.254665
170.0,137.0,-35.345196
170.0,123.0,-34.164135
172.0,110.0,-32.684128
88.0,105.0,7.842227
93.0,104.0,14.683525
100.0,102.0,18.98367
106.0,104.0,21.412539
111.0,105.0,22.038382
134.0,105.0,22.597233
141.0,104.0,22.11863
147.0,102.0,20.09453
154.0,102.0,16.334324
161.0,104.0,9.650851
123.0,117.0,18.775059
123.0,125.0,21.630707
123.0,133.0,26.262196
123.0,140.0,26.267176
116.0,143.0,15.382776
119.0,145.0,16.955223
124.0,145.0,17.835861
128.0,145.0,17.064734
133.0,143.0,15.6304
96.0,114.0,11.452574
101.0,112.0,16.053635
106.0,112.0,16.322968
111.0,115.0,14.061844
106.0,117.0,15.549939
101.0,117.0,14.622059
136.0,115.0,15.040748
141.0,112.0,17.399939
147.0,112.0,17.25616
151.0,114.0,12.659995
147.0,115.0,15.666992
141.0,115.0,16.533175
108.0,160.0,7.5694838
113.0,155.0,13.982408
119.0,153.0,18.12983
124.0,153.0,18.763449
128.0,153.0,18.390759
136.0,155.0,14.480216
142.0,160.0,8.038644
136.0,165.0,12.6529
131.0,166.0,15.018252
124.0,168.0,15.557027
119.0,166.0,14.88044
114.0,165.0,12.296899
109.0,158.0,7.5034733
119.0,158.0,15.113774
124.0,158.0,16.371122
129.0,158.0,15.447069
141.0,160.0,7.9222584
129.0,160.0,14.313357
124.0,161.0,14.778943
119.0,160.0,14.006166
