0,1,2
80.0,129.0,-38.442383
85.0,142.0,-37.88344
91.0,152.0,-37.21103
96.0,162.0,-35.140625
101.0,173.0,-28.804602
108.0,180.0,-18.032152
117.0,183.0,-5.483988
125.0,185.0,6.0214972
139.0,187.0,10.999312
155.0,180.0,4.897898
165.0,174.0,-7.064223
172.0,168.0,-20.219534
179.0,159.0,-31.103525
181.0,147.0,-37.031254
181.0,136.0,-38.794796
182.0,123.0,-39.245983
182.0,109.0,-39.536045
85.0,112.0,3.4192631
91.0,107.0,9.789327
98.0,104.0,14.149456
105.0,102.0,16.956228
110.0,102.0,18.141962
134.0,98.0,18.376366
141.0,97.0,17.073183
148.0,95.0,14.212392
156.0,97.0,9.873748
163.0,98.0,3.2190402
125.0,114.0,18.59751
127.0,121.0,23.427568
129.0,129.0,29.368927
129.0,136.0,30.329815
122.0,143.0,19.428957
125.0,143.0,21.248257
130.0,143.0,22.208086
136.0,142.0,20.936605
139.0,140.0,18.941832
98.0,119.0,8.463753
101.0,116.0,12.82842
106.0,114.0,13.091685
113.0,116.0,11.328186
108.0,119.0,13.003074
101.0,121.0,11.984092
139.0,112.0,11.998401
143.0,109.0,13.582035
149.0,109.0,13.247059
155.0,109.0,8.504709
149.0,112.0,12.146489
143.0,112.0,13.398938
118.0,162.0,16.277655
122.0,157.0,21.667702
129.0,152.0,24.338037
132.0,152.0,24.739029
136.0,150.0,24.040277
144.0,154.0,20.495943
151.0,157.0,14.544449
146.0,161.0,20.45488
141.0,164.0,23.29793
134.0,166.0,24.103647
129.0,166.0,23.756145
124.0,164.0,21.449373
120.0,162.0,16.425755
129.0,157.0,22.186924
132.0,157.0,22.895725
137.0,155.0,21.785172
149.0,157.0,14.711
139.0,157.0,22.2906
134.0,159.0,22.92915
129.0,159.0,22.638838
