0,1,2
75.0,107.0,-31.81278
78.0,122.0,-35.86997
84.0,135.0,-39.3601
88.0,146.0,-40.772636
91.0,157.0,-37.64227
98.0,169.0,-29.416441
106.0,177.0,-18.158342
117.0,184.0,-6.928591
131.0,186.0,-2.3446753
148.0,180.0,-8.162324
159.0,171.0,-19.526016
166.0,162.0,-31.140196
173.0,149.0,-39.461746
177.0,137.0,-41.905857
179.0,124.0,-39.955017
180.0,111.0,-36.101772
182.0,98.0,-31.522692
84.0,106.0,17.743778
89.0,104.0,26.030209
98.0,104.0,30.982351
106.0,104.0,33.349037
111.0,104.0,33.596153
139.0,100.0,34.14731
144.0,98.0,33.93777
153.0,98.0,31.682783
160.0,97.0,27.072042
168.0,97.0,18.675966
126.0,115.0,27.852793
128.0,126.0,29.353294
128.0,135.0,32.72516
128.0,142.0,31.227865
120.0,144.0,18.609919
124.0,146.0,19.924084
129.0,146.0,20.401516
133.0,144.0,19.578566
137.0,142.0,18.079823
95.0,115.0,19.384932
100.0,113.0,24.986513
106.0,111.0,25.387726
113.0,113.0,22.260778
108.0,117.0,23.544178
100.0,117.0,22.40161
140.0,111.0,23.14073
146.0,107.0,26.27925
153.0,107.0,26.061562
159.0,109.0,20.298326
153.0,111.0,23.245756
146.0,113.0,24.347095
111.0,159.0,9.205919
117.0,157.0,15.472534
126.0,157.0,19.391844
129.0,157.0,19.548525
133.0,155.0,19.085917
142.0,155.0,14.100203
148.0,155.0,6.7597966
142.0,160.0,12.753648
135.0,162.0,15.589488
129.0,164.0,16.505241
124.0,164.0,16.164001
119.0,162.0,13.915458
113.0,159.0,9.263556
124.0,159.0,15.76648
129.0,159.0,16.471785
135.0,159.0,15.183142
146.0,155.0,6.8574333
135.0,157.0,16.111227
129.0,159.0,16.967308
124.0,159.0,16.564535
