0,1,2
1.0,166.0,-2.5724816
9.0,162.0,-3.3434422
9.0,164.0,-4.105197
0.0,164.0,-4.705582
6.0,160.0,-5.063219
0.0,168.0,-4.7723145
0.0,167.0,-4.207104
1.0,169.0,-3.8548293
3.0,169.0,-3.9279032
7.0,168.0,-4.462367
7.0,145.0,-5.485114
-1.0,164.0,-6.2115893
12.0,159.0,-6.396142
7.0,160.0,-5.9727793
6.0,161.0,-5.34608
8.0,162.0,-4.5982246
13.0,151.0,-3.8618066
0.0,165.0,2.6572
6.0,161.0,3.692163
7.0,162.0,4.2218637
7.0,162.0,4.3814807
8.0,162.0,4.2845683
9.0,152.0,3.808227
9.0,152.0,3.75732
11.0,152.0,3.4514592
12.0,153.0,2.7369483
11.0,155.0,1.5300761
8.0,164.0,3.1129951
8.0,163.0,3.0011413
0.0,165.0,2.8997426
12.0,164.0,2.4561768
6.0,164.0,0.79069537
7.0,164.0,0.8300822
8.0,164.0,0.701047
4.0,164.0,0.52212214
4.0,163.0,0.20174012
4.0,162.0,2.2235348
6.0,162.0,2.9178772
6.0,162.0,2.843751
6.0,161.0,2.2690213
6.0,162.0,2.439361
5.0,162.0,2.3875003
3.0,161.0,1.7683266
11.0,155.0,2.162488
11.0,155.0,2.0485935
11.0,155.0,1.2182037
9.0,155.0,1.4823694
11.0,160.0,1.7134416
3.0,166.0,-0.96823287
5.0,166.0,-0.26381922
7.0,165.0,-0.18184587
7.0,164.0,-0.43687424
7.0,164.0,-0.60896045
7.0,162.0,-1.7115426
8.0,161.0,-2.917669
8.0,162.0,-2.276561
7.0,164.0,-1.761129
7.0,166.0,-1.3616288
6.0,166.0,-1.093925
5.0,166.0,-1.0140826
3.0,166.0,-1.0452368
7.0,166.0,-0.6468071
7.0,165.0,-0.87419796
7.0,164.0,-1.3469893
8.0,161.0,-2.9864755
7.0,164.0,-1.6183273
6.0,165.0,-1.2124176
7.0,166.0,-0.94441056
