0,1,2
64.0,117.0,-26.334782
66.0,130.0,-26.768047
70.0,143.0,-27.420074
73.0,154.0,-26.674091
81.0,166.0,-22.00486
90.0,177.0,-13.303911
99.0,183.0,-2.7952297
112.0,188.0,6.482168
128.0,192.0,8.073503
141.0,188.0,-1.2085212
149.0,183.0,-15.595639
152.0,176.0,-30.388985
156.0,165.0,-42.419212
158.0,154.0,-48.618618
160.0,143.0,-50.4053
163.0,130.0,-50.733677
163.0,117.0,-50.730682
83.0,102.0,16.184042
90.0,97.0,22.268284
99.0,95.0,25.534023
108.0,97.0,26.847149
116.0,99.0,26.519012
141.0,99.0,20.671213
147.0,99.0,18.064558
152.0,99.0,13.325153
160.0,100.0,6.566813
163.0,104.0,-2.5717278
128.0,113.0,23.05958
130.0,124.0,27.412031
132.0,133.0,32.600723
132.0,141.0,32.81277
121.0,146.0,21.863153
125.0,146.0,22.992945
130.0,148.0,22.887032
134.0,146.0,20.748724
138.0,144.0,18.008387
94.0,113.0,18.436543
101.0,110.0,22.668615
106.0,110.0,21.406338
112.0,113.0,17.942774
106.0,115.0,20.782356
101.0,115.0,21.06132
138.0,113.0,12.343901
145.0,111.0,12.814388
151.0,111.0,10.874785
154.0,113.0,4.296573
151.0,117.0,9.307418
143.0,115.0,12.380506
110.0,161.0,15.911628
117.0,159.0,21.156
127.0,157.0,23.410492
130.0,157.0,23.04947
134.0,157.0,21.844473
141.0,157.0,16.784405
147.0,159.0,8.729423
141.0,163.0,15.600181
136.0,166.0,19.261173
130.0,166.0,21.057621
125.0,166.0,21.58549
119.0,165.0,20.048698
110.0,161.0,15.556447
125.0,161.0,20.631376
130.0,161.0,20.748999
136.0,161.0,18.856796
145.0,159.0,9.2074585
136.0,159.0,18.946873
130.0,159.0,20.356232
125.0,159.0,20.736998
