0,1,2
88.0,105.0,-40.35099
89.0,117.0,-41.013565
92.0,126.0,-41.406616
93.0,135.0,-40.787083
96.0,146.0,-36.78996
98.0,155.0,-28.347937
101.0,162.0,-17.64079
106.0,168.0,-6.668796
117.0,171.0,0.4123873
130.0,167.0,-0.42299375
141.0,162.0,-6.368907
150.0,155.0,-13.252655
156.0,146.0,-18.490236
160.0,137.0,-20.402739
162.0,127.0,-19.879293
163.0,117.0,-18.502335
164.0,106.0,-17.17458
85.0,100.0,-2.8388212
88.0,96.0,4.4831557
92.0,96.0,10.037923
97.0,97.0,13.745351
101.0,98.0,15.835268
120.0,98.0,21.413347
125.0,97.0,22.138254
130.0,97.0,21.611723
138.0,98.0,19.676214
145.0,101.0,15.033966
112.0,114.0,17.035744
110.0,122.0,19.846876
109.0,129.0,23.543085
109.0,134.0,23.463072
106.0,137.0,11.447685
108.0,138.0,13.726246
112.0,139.0,15.455135
116.0,138.0,15.691925
118.0,137.0,14.977704
92.0,110.0,2.1694598
93.0,109.0,7.29193
98.0,110.0,8.8879595
104.0,112.0,8.386479
100.0,113.0,8.351257
94.0,113.0,5.951478
122.0,113.0,14.538663
126.0,110.0,17.55331
131.0,110.0,18.644684
135.0,112.0,15.457718
131.0,113.0,17.076649
126.0,114.0,16.680586
102.0,148.0,0.936328
104.0,147.0,8.466783
109.0,144.0,13.821244
112.0,146.0,15.053932
116.0,144.0,15.608444
123.0,146.0,13.328923
130.0,148.0,8.00171
123.0,154.0,11.019859
118.0,155.0,12.288852
113.0,156.0,11.685707
109.0,155.0,9.900363
105.0,154.0,6.359669
102.0,148.0,1.1710298
109.0,148.0,10.9229965
113.0,148.0,12.997588
117.0,148.0,13.137564
129.0,148.0,7.6100774
118.0,151.0,12.07553
113.0,151.0,11.651075
109.0,151.0,9.881385
