0,1,2
2.0,54.0,-2.330676
6.0,57.0,-7.798696
1.0,61.0,-13.263603
-3.0,69.0,-17.814608
-4.0,84.0,-21.522184
-3.0,94.0,-23.279465
0.0,105.0,-23.443335
-5.0,125.0,-23.99844
-7.0,131.0,-26.97771
-1.0,130.0,-30.684677
38.0,123.0,-34.83123
59.0,119.0,-37.824585
43.0,53.0,-38.12172
61.0,90.0,-35.300205
61.0,89.0,-31.470503
63.0,82.0,-26.93937
1.0,53.0,-22.073097
26.0,78.0,19.886883
34.0,84.0,23.217987
38.0,91.0,24.08113
40.0,96.0,23.385824
40.0,101.0,21.459646
36.0,116.0,15.269135
51.0,126.0,14.461729
54.0,129.0,12.456411
55.0,131.0,8.534134
8.0,85.0,2.8322089
25.0,116.0,10.526114
22.0,123.0,8.08124
18.0,128.0,6.3575068
16.0,129.0,3.3813612
8.0,119.0,-1.6353073
8.0,122.0,-2.2622619
8.0,125.0,-3.8016407
8.0,126.0,-4.7386727
7.0,128.0,-5.8839784
22.0,89.0,15.372497
25.0,94.0,17.809778
26.0,98.0,16.106592
25.0,102.0,11.863385
23.0,99.0,13.418977
22.0,94.0,14.6834345
40.0,120.0,5.9015203
43.0,122.0,7.3338943
48.0,126.0,5.6843195
52.0,125.0,1.3358753
46.0,126.0,2.754416
42.0,124.0,4.6872425
0.0,118.0,-9.3411455
0.0,122.0,-7.162082
4.0,125.0,-6.939973
4.0,130.0,-8.288425
4.0,131.0,-9.169045
1.0,135.0,-14.155603
0.0,136.0,-19.245363
0.0,135.0,-16.756868
-1.0,132.0,-14.816717
0.0,130.0,-12.8682785
-1.0,126.0,-11.208538
-1.0,123.0,-10.071372
0.0,119.0,-9.653061
0.0,125.0,-9.704909
1.0,130.0,-10.693681
1.0,132.0,-12.854632
0.0,136.0,-18.862106
1.0,132.0,-13.340834
1.0,130.0,-11.430312
0.0,125.0,-10.027579
