0,1,2
59.0,117.0,-48.44576
61.0,135.0,-54.2328
64.0,154.0,-59.32336
69.0,169.0,-61.360764
72.0,187.0,-56.74269
80.0,208.0,-44.174393
90.0,223.0,-26.498182
103.0,239.0,-9.815524
124.0,247.0,-2.832947
144.0,239.0,-9.422166
160.0,226.0,-24.512299
173.0,213.0,-41.27144
183.0,198.0,-53.065517
191.0,179.0,-56.895775
196.0,161.0,-54.375225
201.0,146.0,-49.40722
206.0,125.0,-43.181908
69.0,110.0,25.690199
80.0,104.0,39.161083
90.0,104.0,47.64927
100.0,107.0,51.974888
111.0,110.0,53.026154
149.0,110.0,55.4357
160.0,107.0,55.079796
170.0,104.0,51.476894
180.0,107.0,44.014763
191.0,115.0,31.016838
129.0,138.0,46.11202
126.0,154.0,48.909832
126.0,166.0,54.51037
126.0,177.0,52.778133
113.0,185.0,33.74383
118.0,185.0,36.571514
126.0,187.0,37.983246
134.0,185.0,36.76817
139.0,185.0,34.31215
82.0,130.0,28.920605
90.0,130.0,38.32928
100.0,130.0,39.201233
108.0,135.0,35.222584
100.0,135.0,36.464306
90.0,135.0,34.04966
149.0,135.0,37.88343
157.0,130.0,42.546135
168.0,130.0,42.553562
175.0,133.0,33.339314
168.0,138.0,37.861847
157.0,138.0,39.64539
103.0,208.0,22.105564
111.0,205.0,32.999954
121.0,200.0,39.281837
126.0,203.0,40.052788
131.0,203.0,39.56209
139.0,205.0,32.77196
147.0,210.0,20.944431
139.0,216.0,27.163752
131.0,218.0,29.368845
124.0,221.0,29.786608
116.0,218.0,29.243683
111.0,216.0,27.264
105.0,208.0,22.897234
118.0,208.0,33.34234
126.0,208.0,34.97533
131.0,208.0,33.168022
144.0,210.0,21.514503
131.0,210.0,31.727608
124.0,210.0,32.15121
118.0,210.0,31.673128
