0,1,2
62.0,117.0,-39.550987
66.0,134.0,-45.51244
71.0,149.0,-50.676422
73.0,162.0,-53.283955
77.0,177.0,-50.476963
86.0,194.0,-40.848583
94.0,205.0,-26.4668
105.0,218.0,-12.713329
122.0,224.0,-7.402851
142.0,220.0,-13.050991
152.0,207.0,-25.629492
163.0,194.0,-39.537334
172.0,179.0,-48.774166
176.0,164.0,-50.78815
180.0,151.0,-47.64909
185.0,136.0,-42.276367
189.0,119.0,-35.684822
73.0,112.0,23.43652
81.0,110.0,35.39342
90.0,110.0,42.643063
99.0,112.0,46.178852
107.0,114.0,46.944046
140.0,114.0,48.605927
148.0,112.0,48.298702
157.0,110.0,45.267082
168.0,110.0,38.8424
174.0,114.0,27.279675
124.0,136.0,40.59789
122.0,151.0,42.423943
122.0,162.0,46.430786
122.0,170.0,44.42752
112.0,175.0,27.426285
116.0,177.0,29.858067
122.0,179.0,31.005972
129.0,177.0,29.872414
133.0,175.0,27.644064
86.0,130.0,24.863111
92.0,130.0,32.986855
99.0,130.0,33.7479
107.0,134.0,30.147713
101.0,136.0,30.985764
92.0,134.0,28.905294
140.0,134.0,32.031723
148.0,130.0,36.101257
157.0,130.0,36.02394
161.0,132.0,28.070684
157.0,136.0,31.615967
148.0,136.0,33.21078
103.0,194.0,15.944016
109.0,192.0,25.544334
118.0,190.0,31.197441
122.0,190.0,31.70277
127.0,190.0,31.34824
135.0,194.0,25.224699
142.0,196.0,14.471277
135.0,201.0,19.7815
129.0,205.0,21.547995
122.0,205.0,21.944704
116.0,205.0,21.601542
109.0,201.0,20.066494
105.0,194.0,16.644403
116.0,194.0,25.898027
122.0,196.0,27.215569
129.0,196.0,25.669954
140.0,196.0,15.058674
129.0,196.0,24.29863
122.0,196.0,24.734781
116.0,196.0,24.369934
