0,1,2
74.0,94.0,-43.44526
77.0,110.0,-47.076046
79.0,127.0,-50.38224
83.0,141.0,-51.299423
88.0,157.0,-46.55027
95.0,171.0,-35.51731
104.0,182.0,-20.828968
116.0,194.0,-6.4760494
134.0,201.0,-1.1765977
151.0,196.0,-8.598042
162.0,184.0,-22.305183
174.0,173.0,-37.547356
181.0,159.0,-49.134228
188.0,145.0,-53.229893
192.0,131.0,-51.81138
197.0,117.0,-48.379833
201.0,99.0,-44.101166
88.0,83.0,19.420952
95.0,78.0,29.916996
107.0,80.0,36.41488
116.0,83.0,39.744366
123.0,87.0,40.319275
157.0,87.0,41.12455
167.0,85.0,40.44167
176.0,83.0,37.026733
185.0,85.0,30.705372
190.0,90.0,20.089144
139.0,108.0,34.415245
139.0,122.0,37.490334
139.0,134.0,42.87197
137.0,143.0,41.795887
127.0,150.0,26.212116
132.0,150.0,28.23606
137.0,152.0,28.95254
144.0,150.0,27.617718
148.0,150.0,25.525122
100.0,101.0,22.752861
107.0,99.0,29.897835
114.0,101.0,30.185843
123.0,104.0,26.54936
116.0,106.0,28.366165
107.0,106.0,27.000727
157.0,106.0,28.14469
164.0,101.0,31.658278
171.0,101.0,31.217442
178.0,106.0,23.608915
171.0,108.0,27.948273
164.0,108.0,29.661642
118.0,171.0,16.427536
125.0,168.0,24.77122
132.0,166.0,29.519802
137.0,166.0,29.873796
141.0,166.0,29.136772
148.0,168.0,22.94989
155.0,171.0,12.956501
148.0,178.0,19.441576
141.0,180.0,22.598198
137.0,180.0,23.712976
130.0,180.0,23.486048
123.0,175.0,21.26533
120.0,171.0,16.521847
132.0,171.0,25.09796
137.0,171.0,26.097843
141.0,171.0,24.213896
153.0,171.0,13.091616
141.0,171.0,23.163208
137.0,173.0,24.14087
130.0,171.0,23.881735
